CO,Gas,Temp,Humidity,Pressure,Oxygen,Alert,Escape_Time
0.4,314.69,30.09,73.2,1012.81,19.37,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,311.31,30.09,73.2,1012.81,19.36,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,311.31,30.09,73.19,1012.82,19.31,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,319.25,30.09,73.18,1012.82,19.23,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,311.31,30.09,73.18,1012.79,19.18,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,307.96,30.09,73.19,1012.79,19.18,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,313.56,30.08,73.19,1012.79,19.17,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,311.31,30.08,73.2,1012.83,19.15,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,311.31,30.08,73.2,1012.81,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,309.07,30.07,73.2,1012.81,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,313.56,30.07,73.22,1012.81,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,311.31,30.06,73.23,1012.8,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,311.31,30.05,73.25,1012.81,19.09,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,311.31,30.04,73.28,1012.81,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,309.07,30.04,73.3,1012.83,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.4,311.31,30.03,73.32,1012.84,19.1,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,309.07,30.02,73.34,1012.86,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,304.64,30.02,73.35,1012.87,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,304.64,30.01,73.37,1012.86,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,299.19,30.01,73.38,1012.84,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,304.64,30.0,73.39,1012.84,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,304.64,30.0,73.41,1012.84,19.14,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,301.36,30.0,73.42,1012.84,19.16,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,301.36,29.99,73.43,1012.89,19.15,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.38,310.19,29.99,73.44,1012.85,19.12,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
0.39,305.74,29.99,73.45,1012.83,19.11,Warning: Oxygen Fatigue (Low O2)|Warning: High Humidity (Respiratory Risk),60.0
